,date,country,local,industry_sector,accident_level,potential_accident_level,gender,employee_type,critical_risk,description,year,month,day,weekday,week_of_year,quarter,description_processed
25,2016-02-15,Country_01,6,Metals,1,II,Male,Employee,Manual Tools,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",2016,2,15,Monday,7,1,operator willing manually displace zinc sheet adhered aluminum cathode blade detached blade released cathode bending grazing collaborator right hand producing small cut knuckle finger worker glove leather worker transferred unit first aid
26,2016-02-13,Country_01,1,Mining,1,I,Male,Employee,Others,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention.",2016,2,13,Saturday,6,1,end lunch enabled place side winche control room get short walk slip sits floor making contact left knee taking importance rest guard guard finished go safety communicates fact reason derived natclar attention
27,2016-02-15,Country_01,3,Mining,1,III,Male,Third Party,Others,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",2016,2,15,Monday,7,1,end rock break intersection ramp opening access ventilation chimney master loader identifies rock mesh proceeding unload end decides verify still remains positioning line fire fragment rock fall xxcm gr cocada mesh impacting lens helmet injury
28,2016-02-16,Country_01,1,Mining,1,IV,Male,Employee,Others,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand.",2016,2,16,Tuesday,7,1,worker carried level stop placed metal mesh basket soil half scissor mesh fall hit back right hand
29,2016-02-16,Country_02,7,Mining,2,III,Male,Employee,Others,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.,2016,2,16,Tuesday,7,1,using griff wrench unscrew rod probe key move pressing finger probe
30,2016-02-17,Country_01,3,Mining,1,II,Male,Employee,Others,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",2016,2,17,Wednesday,7,1,plant operator semikneeling lifting lid gate distributor box secondary mill right knee slip presence debris spilled platform floor grating gave extra effort left leg muscle contracture
31,2016-02-19,Country_01,3,Mining,1,II,Male,Employee,Others,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.",2016,2,19,Friday,7,1,level access time engineer trainee planamieto entered verify amount split set placed scissor holding notebook pen left hand inspecting roof lost balance stepping rock holding right hand rock floor injury worker accident wore glove difficult take note
32,2016-02-21,Country_01,1,Mining,3,IV,Male,Third Party,Others,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.",2016,2,21,Sunday,7,1,worker yaranga working barretilla stop level unloading metal mesh basket ampoloader operator juan barretilla embedded safety boot reacting worker removing limb force managing release foot producing wound right foot
33,2016-02-20,Country_01,4,Mining,5,V,Male,Third Party,Others,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",2016,2,20,Saturday,7,1,shotcrete launched bp obb finishing launch first mixkret assistant alpha albertico asks operator mixkret jhony move mixkret access finding cockpit mixkret operator launcher team danon asks come team started noticed danon injured imprisoned team height left rear rim hastial de la labor
34,2016-02-15,Country_02,5,Metals,1,II,Male,Employee,Others,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,2016,2,15,Monday,7,1,clearing pipe tapped right thumb flange little trauma
35,2016-02-18,Country_02,5,Metals,1,III,Male,Third Party (Remote),Pressed,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.",2016,2,18,Thursday,7,1,replacing telescopic expansion joint hdpe pipe storm drainage pumping system report piece involuntarily moved positioned holder pressing finger holder wound right chemo
36,2016-02-22,Country_01,1,Mining,1,IV,Male,Third Party,Others,"During the withdrawal the Kelly bar (conductive bar of 45 Kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.",2016,2,22,Monday,8,1,withdrawal kelly bar conductive bar length equipment perforation part worker positioned low part tie bar injured position upper part hold bar positioning bar platform lose control bar moving nd finger right hand pulley frame accident worker wearing safety glove drill rig blocked
37,2016-02-24,Country_02,7,Mining,1,V,Male,Employee,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,2016,2,24,Wednesday,8,1,starting removing coil electric cable warehouse help forklift truck operator notice beehive movement coil bee excited realizing fact operator turned equipment left people passing stung
38,2016-02-24,Country_02,7,Mining,1,V,Female,Third Party,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,2016,2,24,Wednesday,8,1,starting removing coil electric cable warehouse help forklift truck operator notice beehive movement coil bee excited realizing fact operator turned equipment left people passing stung
39,2016-02-24,Country_01,1,Mining,1,IV,Male,Employee,Others,"During the pre-use inspection of the Jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. Take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity.",2016,2,24,Wednesday,8,1,preuse inspection jumbo check list equipment operator equipment find behind seat plastic bottle filled liquid apparently mineral water without label labeling take bottle take small sip liquid expelling noticing water proceeds wash enough water transferred attention liquid contact esengrasante product equipment machinery low toxicity
40,2016-02-29,Country_02,2,Mining,2,IV,Male,Employee,Others,"During maintenance of the Flyght pump rotor, the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee's face, striking him superficially on the forehead, causing injury.",2016,2,29,Monday,9,1,maintenance flyght pump rotor oil pressure lubrication chamber caused chamber cover projected towards face striking superficially forehead injury
41,2016-02-26,Country_01,6,Metals,1,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work.",2016,2,26,Friday,8,1,leakage sulfur dioxide section water seal blowing overpressure acid plant collaborator cormei company eissa cosapi near impacted evacuated care returned usual
42,2016-02-27,Country_01,1,Mining,1,III,Male,Third Party,Others,"While performing the cutting of the meshes protruding in the gables of the work, the assistant loader is positioned at 1.40mt. on the floor using a portable ladder which was held at the base by the master loader, at which time the loader assistant loses balance and when falling is held by the mesh with the hand hanging at 0.80mt. of the floor causing the injury.",2016,2,27,Saturday,8,1,cutting mesh protruding gable assistant loader positioned mt floor using portable ladder held base master loader loader assistant loses balance falling held mesh hand hanging mt floor injury
43,2016-03-02,Country_02,8,Metals,1,III,Male,Employee,Pressed,"The operator was in the center (Demag IV), performing maintenance. When transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger (Left thumb) against the pillar of support of the oven specified below (figure).",2016,3,2,Wednesday,9,1,operator demag iv maintenance transporting hydraulic cylinder help another operator official unbalanced coming cylinder carried press finger left thumb pillar oven specified figure
44,2016-03-02,Country_01,6,Metals,1,III,Male,Employee,Blocking and isolation of energies,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot.",2016,3,2,Wednesday,9,1,start neutral leaching process jhonatan proceeds open air valve tank airlift circumstance process solution return chimney solution coming contact arm right foot
45,2016-03-03,Country_01,3,Mining,1,III,Male,Third Party,Others,"At a time when two assistants were carrying a bag of cement weighing 42.5 kg to the lamp of the loader - suspended about 10 cm from the floor, the left foot of one of the assistants slid and hit the edge of the baton.",2016,3,3,Thursday,9,1,assistant carrying bag cement weighing lamp loader suspended floor left foot assistant slid hit edge baton
46,2016-03-04,Country_01,6,Metals,1,III,Male,Employee,Manual Tools,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning.",2016,3,4,Friday,9,1,operator cleaned spatula spear window boiler force action hit window frame injury little finger left hand operator epp boiler cleaning
47,2016-03-05,Country_01,3,Mining,1,IV,Male,Employee,Others,"The locomotive No. 15 operated by MAPERU personnel, was directed with 10 wagons loaded with ore from the OP4 to the waste bin. Next to the waste bin, the patrol car (which goes on the back of the wagons) the moment it passed over a change of track, the left rear wheel of the patrol car leaves the rail advancing the locomotive leaving the patrol car tilted more ahead. The assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruises.",2016,3,5,Saturday,9,1,locomotive operated maperu personnel directed wagon loaded ore op waste bin next waste bin patrol car go back wagon passed change track left rear wheel patrol car leaf rail advancing locomotive leaving patrol car tilted ahead assistant motorist traveled alone patrol car remained inside structure suffered minor bruise
48,2016-03-06,Country_01,4,Mining,1,III,Male,Employee,Others,"On pit 831 of level 1910 when radial drilling was performed of negative holes with the simba M4C ITH No. 5 equipment, when the assistant of the equipment operator made the change of the drill bit, the metal bar (hammer) is released from the coupling of the rotation unit and when abruptly withdrawing his hands hit the back of his right hand against the team's structure. At the time of the accident the team was Paid.",2016,3,6,Sunday,9,1,pit level radial drilling negative hole simba mc ith equipment assistant equipment operator change drill bit metal bar hammer released coupling rotation unit abruptly withdrawing hand hit back right hand team structure accident team paid
49,2016-03-06,Country_01,3,Mining,3,IV,Male,Third Party (Remote),Others,"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). In order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves.",2016,3,6,Sunday,9,1,worker another partner preparing move oil cylinder mobile platform mounted rail platform weighing derailed leaf rail order place platform rail worker lift platform instant right hand trapped rail platform structure held metallic tube protruding platform accident caused bruised wound index finger right hand fracture accident wore leathertype safety glove
50,2016-03-09,Country_01,6,Metals,1,IV,Male,Third Party,Suspended Loads,"The operator was feeding a bag of big bag containing scraps of Zn sheets. During lifting, this loaded bag is released from the hook of the hoist, making abrupt contact with the liquid zinc of the furnace, generating an explosion and causing the operator to be hit with liquid zinc.",2016,3,9,Wednesday,10,1,operator feeding bag big bag containing scrap zn sheet lifting loaded bag released hook hoist making abrupt contact liquid zinc furnace explosion operator hit liquid zinc
51,2016-03-11,Country_01,3,Mining,3,V,Male,Third Party,Others,"In circumstances that two workers of the company INCIMMET made the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",2016,3,11,Friday,10,1,worker incimmet loading explosive using equipment anfoloader front sustained shotcreterepentinamente right superior part crown piece rock mxmxm impacting basket back helper basket suspended height later block rock detached wall gable mxmxm impact ampoloader team part block injures operator ampoloader team standing ground equipment anfoloader cabin protection rops fop accident worker used helmet safety boot suffered polyontusions minor scoria injury
52,2016-03-11,Country_01,3,Mining,1,V,Male,Third Party,Others,"In circumstances that two workers of the company INCIMMET fectuaban the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",2016,3,11,Friday,10,1,worker incimmet fectuaban loading explosive using equipment anfoloader front sustained shotcreterepentinamente right superior part crown piece rock mxmxm impacting basket back helper basket suspended height later block rock detached wall gable mxmxm impact ampoloader team part block injures operator ampoloader team standing ground equipment anfoloader cabin protection rops fop accident worker used helmet safety boot suffered polyontusions minor scoria injury
53,2016-03-13,Country_01,3,Mining,1,IV,Male,Third Party (Remote),Others,"The mechanic assistant after throwing the wooden blocks of support of the stabilizer of the Hiab crane truck to the ground, when descending from the truck by the access ladder when arriving at the last step jumps towards the ground - height of 69cm - treading the edge of one of The wooden blocks cause an injury to the left ankle.",2016,3,13,Sunday,10,1,mechanic assistant throwing wooden block stabilizer hiab crane truck ground descending truck access ladder arriving last step jump towards ground height treading edge wooden block cause injury left ankle
54,2016-03-12,Country_02,7,Mining,3,IV,Male,Employee,Others,"By manually moving a steel cabinet for disposal with the help of another employee, the operator had his finger pressed down between the wall and the cabinet causing injury.",2016,3,12,Saturday,10,1,manually moving steel cabinet disposal help another operator finger pressed wall cabinet injury
55,2016-03-14,Country_01,6,Metals,2,III,Male,Third Party (Remote),Chemical substances,"During the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face.",2016,3,14,Monday,11,1,discharge waste operator proceeds remove bag hose rolled circumstance end hose move direction face driver projecting liquid contained impacting ear part face
56,2016-03-13,Country_01,3,Mining,1,III,Male,Employee,Others,"In circumstances that the Operator 176 was going from level 620 to level 640, he noticed that the hydraulic pump's inspection cover (18 ""x32"" x3 / 8 "", 15 Kg approx.) Was about to fall, so he stopped the equipment, activates the cats and climbs up the upper part of the equipment and in moments that accommodated the cover it slides on its middle finger causing the injury.",2016,3,13,Sunday,10,1,operator going level level noticed hydraulic pump inspection cover fall stopped equipment activates cat climb upper part equipment accommodated cover slide middle finger injury
